"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
1244.64220220754,-1.93067226647926,0.20073827749527,-9.61344714389482,7.01599578277601e-22,2.01540527132467e-19,"9627","SNCAIP"
121.906432099701,-2.52555013946143,0.260609703626242,-9.4652715305813,2.92799333979034e-21,8.26835542953337e-19,"10215","OLIG2"
1284.05952342796,1.284319158243,0.135669130635881,9.46345380726485,2.9793611760501e-21,8.27318942569511e-19,"653361","NCF1"
1171.60725565007,1.41403471959269,0.149657450153717,9.44431882099121,3.57723436372361e-21,9.77054126786871e-19,"57699","CPNE5"
1805.58674971676,1.08394498520045,0.11525132329503,9.40352437319617,5.27653730966879e-21,1.41794174381277e-18,"8226","PUDP"
249.949691675793,-2.03197324309943,0.215007479409822,-9.39586908583273,5.67473801277609e-21,1.5007430163629e-18,"151126","ZNF385B"
81.8412613918243,-2.69333585473377,0.270084108814825,-9.3896691849482,6.01890005028162e-21,1.56688896465222e-18,"83594","NUDT12"
813.522552137485,-1.54957763815119,0.16599026812189,-9.32696730929136,1.08943448952332e-20,2.7924720046074e-18,"3903","LAIR1"
192.366624355702,1.75817317415608,0.189412580715622,9.23177097285127,2.66193732018702e-20,6.71977843812666e-18,"2837","UTS2R"
3480.04083696654,1.04307114933407,0.114020041745013,9.14745705541642,5.82894522650621e-20,1.44949337938537e-17,"5613","PRKX"
146.75898500954,-2.5224943748104,0.274474276891631,-9.13416122245999,6.59157548468144e-20,1.61503292868055e-17,"10643","IGF2BP3"
335.657062940672,-1.88585017589172,0.206279250010951,-9.11210705958795,8.07972623747757e-20,1.95096114264658e-17,"23098","SARM1"
3121.20925714195,-1.03793555076751,0.114041740583433,-9.10045898371944,8.99508801166999e-20,2.14095944803477e-17,"3728","JUP"
95.7559311427902,2.32259864612037,0.249577240618255,9.08434450126686,1.04325404586833e-19,2.44812051524116e-17,"105377329","LOC105377329"
578.13541290754,1.98253369111231,0.21822712893106,9.0750365462744,1.13639358566301e-19,2.6296463237127e-17,"1512","CTSH"
64.5983709223754,2.50767891314515,0.263109459042885,9.00799381926582,2.09860190557283e-19,4.78969949982863e-17,"599","BCL2L2"
1788.2611466346,1.0067227390456,0.11201839102104,8.98584971776927,2.56742652594794e-19,5.78052612821873e-17,"6713","SQLE"
2245.56782967411,1.16823039427332,0.130418778031682,8.95624025015933,3.35937561279817e-19,7.46274094464405e-17,"9189","ZBED1"
